,hap,ind,pop
88,Hap_1,FL.AM.07,FL.AM
89,Hap_1,FL.AM.05,FL.AM
90,Hap_1,FL.AM.04,FL.AM
151,Hap_22,FL.AM.09,FL.AM
152,Hap_23,FL.AM.06,FL.AM
131,Hap_13,FL.CL.02,FL.CL
132,Hap_13,FL.CL.03,FL.CL
133,Hap_13,FL.CL.05,FL.CL
134,Hap_13,FL.CL.06,FL.CL
135,Hap_13,FL.FP.01,FL.FP
136,Hap_13,FL.FP.02,FL.FP
137,Hap_13,FL.FP.03,FL.FP
138,Hap_13,FL.FP.05,FL.FP
139,Hap_13,FL.FP.06,FL.FP
140,Hap_13,FL.FP.07,FL.FP
141,Hap_13,FL.FP.08,FL.FP
49,Hap_1,FL.ST.14,FL.ST
95,Hap_3,FL.ST.19,FL.ST
96,Hap_3,FL.ST.02,FL.ST
97,Hap_3,FL.ST.16,FL.ST
98,Hap_3,FL.ST.20,FL.ST
99,Hap_3,FL.ST.03,FL.ST
100,Hap_3,FL.ST.05,FL.ST
102,Hap_4,FL.ST.13,FL.ST
103,Hap_5,FL.ST.01,FL.ST
125,Hap_7,FL.ST.10,FL.ST
126,Hap_8,FL.ST.09,FL.ST
111,Hap_6,MA.BA.14,MA.BA
112,Hap_6,MA.BA.13,MA.BA
113,Hap_6,MA.BA.12,MA.BA
114,Hap_6,MA.BA.11,MA.BA
115,Hap_6,MA.BA.10,MA.BA
116,Hap_6,MA.BA.09,MA.BA
117,Hap_6,MA.BA.01,MA.BA
118,Hap_6,MA.BA.07,MA.BA
119,Hap_6,MA.BA.06,MA.BA
120,Hap_6,MA.BA.05,MA.BA
121,Hap_6,MA.BA.02,MA.BA
122,Hap_6,MA.BA.17,MA.BA
123,Hap_6,MA.BA.16,MA.BA
124,Hap_6,MA.BA.15,MA.BA
51,Hap_1,MA.DU.20,MA.DU
106,Hap_6,MA.DU.01,MA.DU
107,Hap_6,MA.DU.02,MA.DU
56,Hap_1,MA.WE.02,MA.WE
104,Hap_6,MA.WE.55,MA.WE
105,Hap_6,MA.WE.53,MA.WE
109,Hap_6,MA.WE.01,MA.WE
1,Hap_1,NC.MV.32,NC.BE
2,Hap_1,NC.MV.20,NC.BE
3,Hap_1,NC.MV.17,NC.BE
4,Hap_1,NC.MV.22,NC.BE
5,Hap_1,NC.MV.21,NC.BE
6,Hap_1,NC.MV.11,NC.BE
7,Hap_1,NC.MV.18,NC.BE
9,Hap_1,NC.MV.27,NC.BE
11,Hap_1,NC.MV.28,NC.BE
12,Hap_1,NC.MV.07,NC.BE
14,Hap_1,NC.MV.12,NC.BE
15,Hap_1,NC.MV.10,NC.BE
16,Hap_1,NC.NR.04,NC.BE
22,Hap_1,NC.MV.16,NC.BE
23,Hap_1,NC.MV.34,NC.BE
24,Hap_1,NC.MV.26,NC.BE
28,Hap_1,NC.MV.04,NC.BE
29,Hap_1,NC.NR.03,NC.BE
31,Hap_1,NC.MV.15,NC.BE
32,Hap_1,NC.MV.30,NC.BE
33,Hap_1,NC.NR.06,NC.BE
34,Hap_1,NC.NR.01,NC.BE
38,Hap_1,NC.MV.23,NC.BE
44,Hap_1,NC.MV.01,NC.BE
46,Hap_1,NC.MV.14,NC.BE
48,Hap_1,NC.MV.25,NC.BE
87,Hap_1,NC.BE.03,NC.BE
91,Hap_1,NC.BE.02,NC.BE
92,Hap_2,NC.NR.10,NC.BE
93,Hap_2,NC.BE.05,NC.BE
94,Hap_2,NC.BE.09,NC.BE
101,Hap_3,NC.NR.12,NC.BE
110,Hap_6,NC.BE.10,NC.BE
143,Hap_14,NC.MV.31,NC.BE
153,Hap_24,NC.BE.01,NC.BE
10,Hap_1,SC.BA.04,SC.BA
17,Hap_1,SC.BA.03,SC.BA
18,Hap_1,SC.BA.11,SC.BA
20,Hap_1,SC.BA.07,SC.BA
25,Hap_1,SC.BA.02,SC.BA
27,Hap_1,SC.BA.05,SC.BA
45,Hap_1,SC.BA.14,SC.BA
8,Hap_1,SC.CH.25,SC.CH
13,Hap_1,SC.CH.35,SC.CH
19,Hap_1,SC.CH.24,SC.CH
21,Hap_1,SC.GB.07,SC.CH
26,Hap_1,SC.CH.32,SC.CH
30,Hap_1,SC.GB.02,SC.CH
35,Hap_1,SC.CH.36,SC.CH
36,Hap_1,SC.CH.23,SC.CH
37,Hap_1,SC.GB.08,SC.CH
39,Hap_1,SC.CH.05,SC.CH
40,Hap_1,SC.CH.06,SC.CH
41,Hap_1,SC.CH.07,SC.CH
42,Hap_1,SC.CH.10,SC.CH
47,Hap_1,SC.CH.03,SC.CH
50,Hap_1,SC.DN.14,SC.CH
78,Hap_1,SC.DN.01,SC.CH
79,Hap_1,SC.DN.03,SC.CH
80,Hap_1,SC.DN.04,SC.CH
81,Hap_1,SC.DN.05,SC.CH
82,Hap_1,SC.DN.06,SC.CH
83,Hap_1,SC.DN.07,SC.CH
84,Hap_1,SC.DN.08,SC.CH
85,Hap_1,SC.DN.09,SC.CH
86,Hap_1,SC.DN.10,SC.CH
127,Hap_9,SC.CH.29,SC.CH
128,Hap_10,SC.GB.04,SC.CH
129,Hap_11,SC.CH.20,SC.CH
130,Hap_12,SC.CH.09,SC.CH
144,Hap_15,SC.DN.12,SC.CH
145,Hap_16,SC.DN.13,SC.CH
146,Hap_17,SC.DN.15,SC.CH
149,Hap_20,SC.DN.02,SC.CH
150,Hap_21,SC.DN.11,SC.CH
43,Hap_1,VA.WA.02,VA.WA
52,Hap_1,VA.WA.31,VA.WA
53,Hap_1,VA.WA.32,VA.WA
54,Hap_1,VA.WA.33,VA.WA
55,Hap_1,VA.WA.34,VA.WA
57,Hap_1,VA.WA.01,VA.WA
58,Hap_1,VA.WA.03,VA.WA
59,Hap_1,VA.WA.04,VA.WA
60,Hap_1,VA.WA.08,VA.WA
61,Hap_1,VA.WA.09,VA.WA
62,Hap_1,VA.WA.10,VA.WA
63,Hap_1,VA.WA.11,VA.WA
64,Hap_1,VA.WA.12,VA.WA
65,Hap_1,VA.WA.13,VA.WA
66,Hap_1,VA.WA.15,VA.WA
67,Hap_1,VA.WA.18,VA.WA
68,Hap_1,VA.WA.19,VA.WA
69,Hap_1,VA.WA.20,VA.WA
70,Hap_1,VA.WA.21,VA.WA
71,Hap_1,VA.WA.23,VA.WA
72,Hap_1,VA.WA.24,VA.WA
73,Hap_1,VA.WA.25,VA.WA
74,Hap_1,VA.WA.26,VA.WA
75,Hap_1,VA.WA.28,VA.WA
76,Hap_1,VA.WA.29,VA.WA
77,Hap_1,VA.WA.30,VA.WA
108,Hap_6,VA.WA.35,VA.WA
142,Hap_13,VA.WA.05,VA.WA
147,Hap_18,VA.WA.16,VA.WA
148,Hap_19,VA.WA.17,VA.WA
